DateTime,DateTime.Rounded,Date,Time,Lat,Long,CO2.ppm,CH4.ppm,Temp.C
2019-06-21 12:00:00,2019-06-21 12:00:00,6/21/19,12:00,47.510209,-122.24631,301.496855,3.614232231,14.10066667
2019-06-28 11:30:00,2019-06-28 11:30:00,6/28/19,11:30,47.510209,-122.24631,325.6103879,3.209866071,14.35866667
2019-07-05 13:45:00,2019-07-05 13:50:00,7/5/19,13:45,47.510209,-122.24631,356.7643865,2.823467614,14.995
2019-07-19 10:00:00,2019-07-19 10:00:00,7/19/19,10:00,47.510209,-122.24631,295.910584,3.574803285,14.367
2019-07-26 10:10:00,2019-07-26 10:10:00,7/26/19,10:10,47.510209,-122.24631,366.461847,2.707435869,15.90875
2019-08-02 09:45:00,2019-08-02 09:50:00,8/2/19,9:45,47.510209,-122.24631,431.5438984,5.332462322,15.6988
2019-08-09 09:30:00,2019-08-09 09:30:00,8/9/19,9:30,47.510209,-122.24631,311.4907722,3.203663832,15.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,