STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-06-28 00:00:00,7.61,0,0,0,61,73,53,20,210,14.1,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-06-29 00:00:00,6.49,0,0,0,64,77,56,350,350,16.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-06-30 00:00:00,7.61,0,0,0,68,81,58,350,360,17,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-01 00:00:00,7.16,0,0,0,71,81,59,210,210,16.1,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-02 00:00:00,6.93,0.43,0,0,62,62,57,190,170,14.1,18.1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-03 00:00:00,4.7,0,0,0,59,71,56,270,230,10.1,14.1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-04 00:00:00,5.14,0,0,0,63,75,55,260,190,12.1,17,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-05 00:00:00,6.49,0,0,0,63,69,58,190,180,12.1,15,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-06 00:00:00,6.04,0,0,0,63,72,58,170,200,13,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-07 00:00:00,6.71,0,0,0,63,68,57,190,200,12.1,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-08 00:00:00,4.7,0,0,0,63,75,57,290,260,10.1,16.1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-09 00:00:00,4.25,0.17,0,0,67,75,58,220,220,10.1,12.1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-10 00:00:00,5.37,0.17,0,0,65,70,62,200,180,15,19,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-11 00:00:00,4.92,0,0,0,66,76,60,210,290,10.1,14.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-12 00:00:00,6.93,0,0,0,69,80,62,30,30,14.1,18.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-13 00:00:00,6.71,0,0,0,69,79,61,20,220,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-14 00:00:00,5.82,0,0,0,68,79,59,30,20,16.1,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-15 00:00:00,6.26,0.02,0,0,68,71,62,30,30,17,19.9,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-16 00:00:00,6.71,0,0,0,68,80,62,220,210,16.1,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-17 00:00:00,12.08,0.13,0,0,67,69,60,210,200,19.9,28,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-18 00:00:00,8.72,0.2,0,0,63,72,56,30,30,21,25.1,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-19 00:00:00,7.61,0.03,0,0,61,73,55,340,340,15,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-20 00:00:00,8.28,0,0,0,65,80,56,30,30,15,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-21 00:00:00,5.82,0,0,0,71,91,56,10,290,13,15,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-22 00:00:00,5.82,0,0,0,71,83,58,180,180,13,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-23 00:00:00,7.61,0,0,0,66,71,58,220,210,16.1,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-24 00:00:00,8.5,0,0,0,65,78,59,200,200,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-25 00:00:00,8.5,0,0,0,70,85,57,350,350,17,21.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-26 00:00:00,8.05,0,0,0,73,87,61,220,210,19.9,25.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-27 00:00:00,10.74,0,0,0,70,76,64,190,200,19.9,25.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-28 00:00:00,9.62,0,0,0,69,81,60,340,340,17,21.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-29 00:00:00,5.82,0,0,0,70,81,58,180,200,13,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-30 00:00:00,5.82,0,0,0,66,77,57,250,310,13,23,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-07-31 00:00:00,4.25,0,0,0,69,83,57,290,270,10.1,13,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-01 00:00:00,7.83,0,0,0,71,85,60,230,240,16.1,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-02 00:00:00,7.83,0.37,0,0,71,78,63,30,30,17,19.9,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-03 00:00:00,9.62,0,0,0,71,82,61,340,360,16.1,23,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-04 00:00:00,7.61,0,0,0,72,87,62,340,20,13,18.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-05 00:00:00,5.82,0,0,0,75,88,62,350,10,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-06 00:00:00,5.37,0,0,0,68,84,58,340,330,13,16.1,1,1,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-07 00:00:00,7.38,0,0,0,67,76,58,220,230,13,19.9,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-08 00:00:00,7.16,0,0,0,65,69,60,210,210,13,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-09 00:00:00,5.82,0,0,0,66,76,61,300,290,13,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-10 00:00:00,4.92,0.38,0,0,66,74,60,30,250,13,15,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-11 00:00:00,8.72,0,0,0,66,75,60,190,190,15,25.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-12 00:00:00,4.92,0,0,0,67,79,59,200,270,12.1,15,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-13 00:00:00,4.92,0,0,0,71,85,61,280,290,12.1,15,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-14 00:00:00,5.14,0,0,0,73,84,62,30,290,13,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-15 00:00:00,6.04,0,0,0,69,78,60,200,220,12.1,19.9,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-16 00:00:00,7.38,0,0,0,66,69,60,210,210,15,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-17 00:00:00,5.59,0,0,0,65,75,60,200,180,10.1,15,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-18 00:00:00,4.47,0,0,0,66,76,59,230,230,10.1,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-19 00:00:00,6.49,0,0,0,67,76,60,200,290,12.1,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-20 00:00:00,6.04,0,0,0,67,82,56,230,250,18.1,23,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-21 00:00:00,6.04,0.3,0,0,66,70,59,30,20,15,17,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-22 00:00:00,4.47,0.08,0,0,61,71,56,270,230,8.9,14.1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-23 00:00:00,5.82,0,0,0,64,73,55,340,340,16.1,23,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-24 00:00:00,7.83,0,0,0,65,76,59,20,30,17,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-25 00:00:00,7.16,0,0,0,67,74,60,50,160,13,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-26 00:00:00,11.41,0,0,0,67,79,57,350,10,21,25.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-27 00:00:00,11.63,0,0,0,70,85,60,10,20,17,23,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-28 00:00:00,7.16,0,0,0,75,89,66,10,20,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-29 00:00:00,8.5,0.07,0,0,71,78,59,230,230,16.1,19.9,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-30 00:00:00,5.82,0,0,0,67,77,63,130,80,14.1,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-31 00:00:00,4.92,0,0,0,69,78,60,210,210,14.1,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-09-01 00:00:00,5.82,0,0,0,70,79,63,190,210,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-09-02 00:00:00,6.93,0,0,0,69,79,60,350,330,14.1,19.9,,,,